side,limit,margin,stat,type,fromPosition
long,-51141.5,0.01,open,open Position,1763.5
long,-51042.9,0.01,open,open Position,1760.1
long,-50992.15,0.01,open,open Position,1758.35
long,-51140.05,0.01,open,open Position,1763.45
long,-50780.45,0.01,open,open Position,1751.05
long,-51048.7,0.01,open,open Position,1760.3
long,-51132.8,0.01,open,open Position,1763.2
long,-50992.15,0.01,open,open Position,1758.35
long,-51067.55,0.01,open,open Position,1760.95
long,-51299.55,0.01,open,open Position,1768.95
long,-51380.75,0.01,open,open Position,1771.75
long,-51214,0.01,open,open Position,1766
long,-51060.3,0.01,open,open Position,1760.7
long,-51257.5,0.01,open,open Position,1767.5
long,-51328.55,0.01,open,open Position,1769.95
long,-51347.4,0.01,open,open Position,1770.6
long,-51031.3,0.01,open,open Position,1759.7
long,-51106.7,0.01,open,open Position,1762.3
long,-50974.75,0.01,open,open Position,1757.75
long,-50203.35,0.01,open,open Position,1731.15
long,-50596.3,0.01,open,open Position,1744.7
long,-51185,0.01,open,open Position,1765
long,-50301.95,0.01,open,open Position,1734.55
long,-51050.15,0.01,open,open Position,1760.35
long,-50330.95,0.01,open,open Position,1735.55
long,-50052.55,0.01,open,open Position,1725.95
long,-50051.1,0.01,open,open Position,1725.9
long,-50103.3,0.01,open,open Position,1727.7
long,-50341.1,0.01,open,open Position,1735.9
long,-50955.9,0.01,open,open Position,1757.1
long,-50831.2,0.01,open,open Position,1752.8
long,-50747.1,0.01,open,open Position,1749.9
long,-50555.7,0.01,open,open Position,1743.3
long,-50678.95,0.01,open,open Position,1747.55
long,-50619.5,0.01,open,open Position,1745.5
long,-50741.3,0.01,open,open Position,1749.7
long,-50309.2,0.01,open,open Position,1734.8
long,-49465.3,0.01,open,open Position,1705.7
long,-49653.8,0.01,open,open Position,1712.2
long,-50098.95,0.01,open,open Position,1727.55
long,-50098.95,0.01,open,open Position,1727.55
long,-50022.1,0.01,open,open Position,1724.9
long,-49953.95,0.01,open,open Position,1722.55
long,-49735,0.01,open,open Position,1715
long,-49453.7,0.01,open,open Position,1705.3
long,-49750.95,0.01,open,open Position,1715.55
long,-48899.8,0.01,open,open Position,1686.2
long,-49144.85,0.01,open,open Position,1694.65
long,-49507.35,0.01,open,open Position,1707.15
long,-49710.35,0.01,open,open Position,1714.15
long,-49659.6,0.01,open,open Position,1712.4
long,-49817.65,0.01,open,open Position,1717.85
long,-49449.35,0.01,open,open Position,1705.15
long,-49726.3,0.01,open,open Position,1714.7
long,-49695.85,0.01,open,open Position,1713.65
long,-49898.85,0.01,open,open Position,1720.65
long,-50188.85,0.01,open,open Position,1730.65
long,-50364.3,0.01,open,open Position,1736.7
long,-47209.1,0.01,open,open Position,1627.9
long,-46463.8,0.01,open,open Position,1602.2
long,-46063.6,0.01,open,open Position,1588.4
long,-46188.3,0.01,open,open Position,1592.7
long,-46662.45,0.01,open,open Position,1609.05
long,-46868.35,0.01,open,open Position,1616.15
long,-45748.95,0.01,open,open Position,1577.55
long,-46489.9,0.01,open,open Position,1603.1
long,-46572.55,0.01,open,open Position,1605.95
long,-46233.25,0.01,open,open Position,1594.25
long,-45969.35,0.01,open,open Position,1585.15
long,-45593.8,0.01,open,open Position,1572.2
long,-45559,0.01,open,open Position,1571
long,-45801.15,0.01,open,open Position,1579.35
long,-46308.65,0.01,open,open Position,1596.85
long,-46357.95,0.01,open,open Position,1598.55
long,-46900.25,0.01,open,open Position,1617.25
long,-46688.55,0.01,open,open Position,1609.95
long,-46545,0.01,open,open Position,1605
long,-46698.7,0.01,open,open Position,1610.3
long,-46375.35,0.01,open,open Position,1599.15
long,-46421.75,0.01,open,open Position,1600.75
long,-46347.8,0.01,open,open Position,1598.2
long,-46149.15,0.01,open,open Position,1591.35
long,-46444.95,0.01,open,open Position,1601.55
long,-46456.55,0.01,open,open Position,1601.95
long,-46388.4,0.01,open,open Position,1599.6
long,-46199.9,0.01,open,open Position,1593.1
long,-45822.9,0.01,open,open Position,1580.1
long,-45918.6,0.01,open,open Position,1583.4
long,-45638.75,0.01,open,open Position,1573.75
long,-46240.5,0.01,open,open Position,1594.5
long,-46286.9,0.01,open,open Position,1596.1
long,-46811.8,0.01,open,open Position,1614.2
long,-47396.15,0.01,open,open Position,1634.35
long,-47444,0.01,open,open Position,1636
long,-46951,0.01,open,open Position,1619
long,-46935.05,0.01,open,open Position,1618.45
long,-46571.1,0.01,open,open Position,1605.9
long,-46249.2,0.01,open,open Position,1594.8
long,-46140.45,0.01,open,open Position,1591.05
