profitLevel,closeLevel,addLossLevel,levrage,maxLongMargin,longPnl,longMargin,maxShortMargin,shortPnl,shortMargin,totalProfit,totalLoss,totalpnl
0.15,0.15,0.15,20,0,0,0,0.02,0,0,10.521399999999991,-9.57779999999998,0.9436000000000152
0.15,0.15,0.15,20,0,0,0,0.03,0,0,15.782099999999994,-14.366699999999964,1.4154000000000242
0.15,0.15,0.15,20,0,0,0,0.04,0,0,21.042799999999982,-19.15559999999996,1.8872000000000304
0.15,0.15,0.15,20,0,0,0,0.05,0,0,26.30349999999999,-23.944499999999948,2.35900000000004
0.15,0.15,0.15,20,0,0,0,0.06,0,0,31.56419999999999,-28.73339999999993,2.8308000000000484
0.15,0.15,0.15,20,0,0,0,0.07,0,0,36.824899999999985,-33.52229999999994,3.3026000000000524
0.15,0.15,0.15,20,0,0,0,0.08,0,0,42.085599999999964,-38.31119999999992,3.774400000000061
0.15,0.15,0.15,20,0,0,0,0.09,0,0,47.346299999999964,-43.10009999999989,4.246200000000062
0.15,0.15,0.15,20,0,0,0,0.1,0,0,52.60699999999998,-47.888999999999896,4.71800000000008
0.15,0.15,0.15,25,0,0,0,0,0,0,3.4733999999999945,-5.4037999999999995,-1.9304000000000052
0.15,0.15,0.15,25,0,0,0,0,0,0,6.946799999999989,-10.807599999999999,-3.8608000000000104
0.15,0.15,0.15,25,0,0,0,0,0,0,10.420199999999985,-16.211399999999994,-5.791200000000014
0.15,0.15,0.15,25,0,0,0,0,0,0,13.893599999999978,-21.615199999999998,-7.721600000000021
0.15,0.15,0.15,25,0,0,0,0,0,0,17.366999999999972,-27.019,-9.652000000000019
0.15,0.15,0.15,25,0,0,0,0,0,0,20.84039999999997,-32.42279999999999,-11.582400000000028
0.15,0.15,0.15,25,0,0,0,0,0,0,24.313799999999972,-37.826599999999985,-13.512800000000032
0.15,0.15,0.15,25,0,0,0,0,0,0,27.787199999999956,-43.230399999999996,-15.443200000000042
0.15,0.15,0.15,25,0,0,0,0,0,0,31.26059999999995,-48.6342,-17.37360000000004
0.15,0.15,0.15,25,0,0,0,0,0,0,34.733999999999945,-54.038,-19.304000000000038
0.15,0.15,0.15,30,0,0,0,0,0,0,3.2324999999999973,-5.296699999999981,-2.0641999999999827
0.15,0.15,0.15,30,0,0,0,0,0,0,6.4649999999999945,-10.593399999999962,-4.128399999999965
0.15,0.15,0.15,30,0,0,0,0,0,0,9.697499999999991,-15.890099999999936,-6.192599999999947
0.15,0.15,0.15,30,0,0,0,0,0,0,12.929999999999989,-21.186799999999923,-8.25679999999993
0.15,0.15,0.15,30,0,0,0,0,0,0,16.16249999999999,-26.4834999999999,-10.320999999999911
0.15,0.15,0.15,30,0,0,0,0,0,0,19.394999999999982,-31.780199999999873,-12.385199999999895
0.15,0.15,0.15,30,0,0,0,0,0,0,22.627499999999998,-37.076899999999846,-14.449399999999875
0.15,0.15,0.15,30,0,0,0,0,0,0,25.859999999999978,-42.37359999999985,-16.51359999999986
0.15,0.15,0.15,30,0,0,0,0,0,0,29.09249999999998,-47.6702999999998,-18.577799999999854
0.15,0.15,0.15,30,0,0,0,0,0,0,32.32499999999998,-52.9669999999998,-20.641999999999822
0.15,0.15,0.15,35,0,0,0,0,0,0,3.1221000000000037,-5.338500000000004,-2.2164000000000006
0.15,0.15,0.15,35,0,0,0,0,0,0,6.244200000000007,-10.677000000000008,-4.432800000000001
0.15,0.15,0.15,35,0,0,0,0,0,0,9.366300000000004,-16.015500000000014,-6.649200000000001
0.15,0.15,0.15,35,0,0,0,0,0,0,12.488400000000015,-21.354000000000017,-8.865600000000002
0.15,0.15,0.15,35,0,0,0,0,0,0,15.610500000000012,-26.69250000000002,-11.082
0.15,0.15,0.15,35,0,0,0,0,0,0,18.73260000000001,-32.03100000000003,-13.298400000000003
0.15,0.15,0.15,35,0,0,0,0,0,0,21.854700000000022,-37.36950000000002,-15.51480000000001
0.15,0.15,0.15,35,0,0,0,0,0,0,24.97680000000003,-42.708000000000034,-17.731200000000005
0.15,0.15,0.15,35,0,0,0,0,0,0,28.098900000000025,-48.046500000000044,-19.9476
0.15,0.15,0.15,35,0,0,0,0,0,0,31.221000000000025,-53.38500000000004,-22.164
0.15,0.15,0.15,40,0,0,0,0,0,0,2.7123999999999984,-5.704600000000007,-2.9922000000000057
0.15,0.15,0.15,40,0,0,0,0,0,0,5.424799999999997,-11.409200000000014,-5.9844000000000115
0.15,0.15,0.15,40,0,0,0,0,0,0,8.137199999999996,-17.113800000000023,-8.976600000000023
0.15,0.15,0.15,40,0,0,0,0,0,0,10.849599999999993,-22.81840000000003,-11.968800000000023
0.15,0.15,0.15,40,0,0,0,0,0,0,13.561999999999989,-28.523000000000028,-14.961000000000032
0.15,0.15,0.15,40,0,0,0,0,0,0,16.274399999999993,-34.227600000000045,-17.953200000000045
0.15,0.15,0.15,40,0,0,0,0,0,0,18.98679999999999,-39.932200000000044,-20.945400000000053
0.15,0.15,0.15,40,0,0,0,0,0,0,21.699199999999987,-45.63680000000006,-23.937600000000046
0.15,0.15,0.15,40,0,0,0,0,0,0,24.41159999999997,-51.34140000000006,-26.92980000000006
0.15,0.15,0.15,40,0,0,0,0,0,0,27.123999999999977,-57.046000000000056,-29.922000000000065
0.15,0.15,0.15,45,0,0,0,0,0,0,2.7606999999999973,-5.665199999999997,-2.9045
0.15,0.15,0.15,45,0,0,0,0,0,0,5.5213999999999945,-11.330399999999994,-5.809
0.15,0.15,0.15,45,0,0,0,0,0,0,8.28209999999999,-16.995599999999985,-8.713499999999998
0.15,0.15,0.15,45,0,0,0,0,0,0,11.042799999999989,-22.660799999999988,-11.618
0.15,0.15,0.15,45,0,0,0,0,0,0,13.803499999999985,-28.325999999999983,-14.522499999999999
0.15,0.15,0.15,45,0,0,0,0,0,0,16.56419999999998,-33.99119999999997,-17.426999999999996
0.15,0.15,0.15,45,0,0,0,0,0,0,19.32489999999999,-39.65639999999999,-20.33150000000001
0.15,0.15,0.15,45,0,0,0,0,0,0,22.085599999999978,-45.321599999999975,-23.236
0.15,0.15,0.15,45,0,0,0,0,0,0,24.846299999999975,-50.986799999999974,-26.140499999999992
0.15,0.15,0.15,45,0,0,0,0,0,0,27.60699999999997,-56.651999999999965,-29.044999999999998
