type,pp,limit,margin,side,stat
close Position,1694.99,1638.49,0.71,short,canceled
open Position,1695.46,1729.37,0.01,short,filled
close Position,1695.46,1638.94,0.72,short,canceled
open Position,1695.92,1729.84,0.01,short,filled
close Position,1695.92,1639.39,0.73,short,canceled
open Position,1696.38,1730.31,0.01,short,filled
close Position,1696.38,1639.83,0.74,short,canceled
open Position,1696.83,1730.77,0.01,short,filled
close Position,1696.83,1640.27,0.75,short,canceled
open Position,1697.28,1731.23,0.01,short,filled
close Position,1697.28,1640.7,0.76,short,canceled
open Position,1697.72,1731.67,0.01,short,filled
close Position,1697.72,1641.13,0.77,short,canceled
open Position,1698.16,1732.12,0.01,short,filled
close Position,1698.16,1641.55,0.78,short,canceled
open Position,1698.59,1732.56,0.01,short,filled
close Position,1698.59,1641.97,0.79,short,canceled
open Position,1699.01,1732.99,0.01,short,filled
close Position,1699.01,1642.38,0.8,short,canceled
open Position,1699.43,1733.42,0.01,short,filled
close Position,1699.43,1642.78,0.81,short,canceled
open Position,1699.84,1733.84,0.01,short,filled
close Position,1699.84,1643.18,0.82,short,canceled
open Position,1700.25,1734.26,0.01,short,filled
close Position,1700.25,1643.58,0.83,short,canceled
open Position,1700.65,1734.66,0.01,short,filled
close Position,1700.65,1643.96,0.84,short,canceled
open Position,1701.05,1735.07,0.01,short,filled
close Position,1701.05,1644.35,0.85,short,canceled
open Position,1701.45,1735.48,0.01,short,filled
close Position,1701.45,1644.74,0.86,short,canceled
open Position,1701.84,1735.88,0.01,short,filled
close Position,1701.84,1645.11,0.87,short,canceled
open Position,1702.23,1736.27,0.01,short,filled
close Position,1702.23,1645.49,0.88,short,canceled
open Position,1702.61,1736.66,0.01,short,filled
close Position,1702.61,1645.86,0.89,short,canceled
open Position,1702.99,1737.05,0.01,short,open
close Position,1702.99,1646.22,0.9,short,filled
open Position,1516.48,1486.15,0.01,long,filled
close Position,1516.48,1567.03,0.08,long,canceled
open Position,1513.11,1482.85,0.01,long,filled
close Position,1513.11,1563.55,0.09,long,canceled
open Position,1510.08,1479.88,0.01,long,filled
close Position,1510.08,1560.42,0.1,long,canceled
open Position,1507.33,1477.18,0.01,long,filled
close Position,1507.33,1557.57,0.11,long,canceled
open Position,1504.82,1474.72,0.01,long,filled
close Position,1504.82,1554.98,0.12,long,canceled
open Position,1502.5,1472.45,0.01,long,filled
close Position,1502.5,1552.58,0.13,long,canceled
open Position,1500.35,1470.34,0.01,long,filled
close Position,1500.35,1550.36,0.14,long,canceled
open Position,1498.35,1468.38,0.01,long,filled
close Position,1498.35,1548.29,0.15,long,canceled
open Position,1496.48,1466.55,0.01,long,filled
close Position,1496.48,1546.36,0.16,long,canceled
open Position,1494.72,1464.83,0.01,long,filled
close Position,1494.72,1544.54,0.17,long,canceled
open Position,1493.06,1463.2,0.01,long,filled
close Position,1493.06,1542.83,0.18,long,canceled
open Position,1491.49,1461.66,0.01,long,filled
close Position,1491.49,1541.21,0.19,long,canceled
open Position,1490,1460.2,0.01,long,filled
close Position,1490,1539.67,0.2,long,canceled
open Position,1488.58,1458.81,0.01,long,filled
close Position,1488.58,1538.2,0.21,long,canceled
open Position,1487.23,1457.49,0.01,long,filled
close Position,1487.23,1536.8,0.22,long,canceled
open Position,1485.94,1456.22,0.01,long,filled
close Position,1485.94,1535.47,0.23,long,canceled
open Position,1484.7,1455.01,0.01,long,filled
close Position,1484.7,1534.19,0.24,long,canceled
open Position,1483.51,1453.84,0.01,long,filled
close Position,1483.51,1532.96,0.25,long,canceled
open Position,1482.37,1452.72,0.01,long,filled
close Position,1482.37,1531.78,0.26,long,canceled
open Position,1481.27,1451.64,0.01,long,filled
close Position,1481.27,1530.65,0.27,long,canceled
open Position,1480.21,1450.61,0.01,long,filled
close Position,1480.21,1529.55,0.28,long,canceled
open Position,1479.19,1449.61,0.01,long,filled
close Position,1479.19,1528.5,0.29,long,canceled
open Position,1478.2,1448.64,0.01,long,filled
close Position,1478.2,1527.47,0.3,long,canceled
open Position,1477.25,1447.7,0.01,long,filled
close Position,1477.25,1526.49,0.31,long,canceled
open Position,1476.33,1446.8,0.01,long,filled
close Position,1476.33,1525.54,0.32,long,canceled
open Position,1475.44,1445.93,0.01,long,filled
close Position,1475.44,1524.62,0.33,long,canceled
open Position,1474.57,1445.08,0.01,long,filled
close Position,1474.57,1523.72,0.34,long,canceled
open Position,1473.73,1444.26,0.01,long,filled
close Position,1473.73,1522.85,0.35,long,canceled
open Position,1472.91,1443.45,0.01,long,filled
close Position,1472.91,1522.01,0.36,long,canceled
open Position,1472.11,1442.67,0.01,long,filled
close Position,1472.11,1521.18,0.37,long,canceled
open Position,1471.34,1441.91,0.01,long,filled
close Position,1471.34,1520.38,0.38,long,canceled
open Position,1470.59,1441.18,0.01,long,filled
close Position,1470.59,1519.61,0.39,long,canceled
open Position,1469.85,1440.45,0.01,long,filled
close Position,1469.85,1518.84,0.4,long,canceled
open Position,1469.13,1439.75,0.01,long,filled
close Position,1469.13,1518.1,0.41,long,canceled
open Position,1468.43,1439.06,0.01,long,filled
close Position,1468.43,1517.38,0.42,long,canceled
open Position,1467.75,1438.39,0.01,long,filled
close Position,1467.75,1516.67,0.43,long,canceled
open Position,1467.08,1437.74,0.01,long,filled
close Position,1467.08,1515.98,0.44,long,canceled
open Position,1466.43,1437.1,0.01,long,filled
close Position,1466.43,1515.31,0.45,long,canceled
open Position,1465.79,1436.47,0.01,long,filled
close Position,1465.79,1514.65,0.46,long,canceled
open Position,1465.17,1435.87,0.01,long,filled
close Position,1465.17,1514.01,0.47,long,canceled
open Position,1464.56,1435.27,0.01,long,filled
close Position,1464.56,1513.38,0.48,long,canceled
open Position,1463.96,1434.68,0.01,long,filled
close Position,1463.96,1512.76,0.49,long,canceled
open Position,1463.37,1434.1,0.01,long,filled
close Position,1463.37,1512.15,0.5,long,canceled
open Position,1462.8,1433.54,0.01,long,filled
close Position,1462.8,1511.56,0.51,long,canceled
open Position,1462.24,1433,0.01,long,filled
close Position,1462.24,1510.98,0.52,long,canceled
open Position,1461.69,1432.46,0.01,long,filled
close Position,1461.69,1510.41,0.53,long,canceled
open Position,1461.15,1431.93,0.01,long,filled
close Position,1461.15,1509.86,0.54,long,canceled
open Position,1460.62,1431.41,0.01,long,filled
close Position,1460.62,1509.31,0.55,long,canceled
open Position,1460.1,1430.9,0.01,long,open
close Position,1460.1,1508.77,0.56,long,open
