m1,m1CloseOpen,m15,m15CloseOpen,h1,h1CloseOpen,h4,h4CloseOpen,d1,d1CloseOpen
down,-1.1000000000001364,down,-0.4500000000000455,up,-34.850000000000136,down,-2.1499999999998636,down,40.450000000000045
down,0.25,down,-0.7999999999999545,down,-7.5499999999999545,down,9.849999999999909,down,-51.34999999999991
down,2.050000000000182,down,-2.0499999999999545,down,6.7999999999999545,down,-10.599999999999909,down,105.84999999999991
down,-2.2000000000000455,down,2.5,down,5.75,down,-1.5,up,116.15000000000009
down,0.7000000000000455,down,-0.20000000000004547,down,-2.6499999999998636,down,1,up,-20
down,1.0499999999999545,down,-1.150000000000091,down,-2.2999999999999545,down,-11.900000000000091,up,50
down,0.9500000000000455,down,-2.9500000000000455,down,4.399999999999864,down,7.0499999999999545,down,13.799999999999955
down,-2.400000000000091,up,5.300000000000182,down,-4.2000000000000455,down,15.950000000000045,down,16.549999999999955
down,1.0499999999999545,up,6.599999999999909,down,9.900000000000091,up,-30.049999999999955,down,-2
down,-2.599999999999909,up,2,down,-0.650000000000091,up,-22.600000000000136,down,-25.649999999999864
up,4.9500000000000455,up,5.849999999999909,up,-29,down,-18.75,up,-20.350000000000136
up,2.349999999999909,up,-0.9499999999998181,up,-11.899999999999864,down,10.600000000000136,down,25.200000000000045
up,-0.9500000000000455,up,-4.400000000000091,down,0.5,down,-2.900000000000091,down,31
up,1.8500000000001364,up,1.7999999999999545,up,-11.450000000000045,up,-7.099999999999909,down,-21.40000000000009
up,1.3999999999998636,up,-2.099999999999909,down,0,down,3.75,up,9.150000000000091
up,0.8500000000001364,down,-2,down,1.099999999999909,down,-5.4500000000000455,up,-7.349999999999909
up,-0.4500000000000455,down,-0.20000000000004547,down,-0.5499999999999545,down,9.049999999999955,up,14.549999999999955
up,0.75,up,7.900000000000091,down,0.7000000000000455,down,13.150000000000091,up,-10.450000000000045
up,-0.20000000000004547,down,3,down,0.15000000000009095,up,26.799999999999955,up,-32.950000000000045
up,-1.099999999999909,down,-1.25,down,0.599999999999909,up,-29.049999999999955,up,8.200000000000045
up,0.1999999999998181,down,-3.650000000000091,down,-4.400000000000091,up,-6.600000000000136,up,-15.799999999999955
up,-1.2999999999999545,down,6.7999999999999545,down,4.800000000000182,up,-8.099999999999909,up,-21.299999999999955
up,-1.349999999999909,down,6.400000000000091,down,-6.350000000000136,up,66.54999999999995,up,0.09999999999990905
up,1,up,-17,up,12.200000000000045,up,-27.549999999999955,up,-9.049999999999955
up,-1.5,up,4.599999999999909,up,2.400000000000091,up,-7.7000000000000455,up,38.149999999999864
up,-2.1000000000001364,up,-4,up,0.8999999999998636,up,-2.75,up,46.55000000000018
down,0.650000000000091,up,-0.4500000000000455,up,0.6000000000001364,up,-8.75,up,-35.15000000000009
down,-1.099999999999909,up,-0.049999999999954525,up,-0.3000000000001819,up,-10.599999999999909,up,-16.799999999999955
up,0.7999999999999545,up,1.2999999999999545,up,-1.25,up,-20.90000000000009,up,-7.2000000000000455
down,2.0499999999999545,up,4.550000000000182,up,0.0500000000001819,up,14.700000000000045,down,-1.5499999999999545
down,-0.75,up,-10.300000000000182,up,1.849999999999909,up,-11.549999999999955,down,9.450000000000045
down,1.5,up,-2.5,up,-0.4500000000000455,up,-6.0499999999999545,down,-8.050000000000182
down,-0.25,up,3.650000000000091,up,-0.049999999999954525,up,14.099999999999909,down,40.90000000000009
down,0.7999999999999545,up,-2.75,up,-2.9500000000000455,up,-5.5499999999999545,down,-21.950000000000045
down,-0.3999999999998636,up,-0.049999999999954525,up,2.400000000000091,up,6.599999999999909,down,-10.200000000000045
down,-3.550000000000182,up,-2.6000000000001364,up,0.049999999999954525,up,-29.09999999999991,down,0.8500000000001364
down,0.3000000000001819,up,-2.599999999999909,up,-1.2999999999999545,up,14.700000000000045,down,81.5
down,5.899999999999864,down,-0.849999999999909,up,3.6499999999998636,up,14,down,-78.10000000000014
up,4.2000000000000455,down,2.3999999999998636,down,-1.099999999999909,up,-15.450000000000045,down,-52.59999999999991
up,1.5499999999999545,down,0.650000000000091,up,2.7999999999999545,up,-2.900000000000091,down,41.25
up,3.400000000000091,up,4.75,up,-3.5,up,39.65000000000009,down,-134.5
up,-0.9500000000000455,down,-0.9500000000000455,down,-0.4500000000000455,up,-60.25,down,34.25
up,-0.849999999999909,up,-2.7000000000000455,up,1.75,up,7.349999999999909,down,-38.25
down,-0.25,up,-1.2000000000000455,up,-3.449999999999818,up,-28.799999999999955,up,-164
