type,pp,limit,margin,side,stat
close Position,1731.83,1674.1,0,short,canceled
open Position,1734.49,1769.18,0.01,short,filled
close Position,1734.49,1676.67,0,short,canceled
open Position,1736.97,1771.71,0.01,short,filled
close Position,1736.97,1679.07,0,short,canceled
open Position,1739.29,1774.08,0.01,short,filled
close Position,1739.29,1681.31,0,short,canceled
open Position,1741.46,1776.29,0.01,short,filled
close Position,1741.46,1683.41,0,short,canceled
open Position,1743.51,1778.38,0.01,short,filled
close Position,1743.51,1685.39,0,short,canceled
open Position,1745.45,1780.36,0.01,short,filled
close Position,1745.45,1687.27,0,short,canceled
open Position,1747.29,1782.24,0.01,short,open
close Position,1747.29,1689.05,0,short,filled
open Position,1747.29,1782.24,0.01,short,open
open Position,1517.48,1487.13,0.01,long,canceled
close Position,1517.48,1568.06,0,long,canceled
open Position,1514.52,1484.23,0.01,long,filled
close Position,1514.52,1565,0,long,canceled
open Position,1511.49,1481.26,0.01,long,filled
close Position,1511.49,1561.87,0,long,canceled
open Position,1508.74,1478.57,0.01,long,filled
close Position,1508.74,1559.03,0,long,canceled
open Position,1506.23,1476.11,0.01,long,filled
close Position,1506.23,1556.44,0,long,canceled
open Position,1503.91,1473.83,0.01,long,filled
close Position,1503.91,1554.04,0,long,canceled
open Position,1501.76,1471.72,0.01,long,filled
close Position,1501.76,1551.82,0,long,canceled
open Position,1499.76,1469.76,0.01,long,filled
close Position,1499.76,1549.75,0,long,canceled
open Position,1497.88,1467.92,0.01,long,filled
close Position,1497.88,1547.81,0,long,canceled
open Position,1496.12,1466.2,0.01,long,filled
close Position,1496.12,1545.99,0,long,canceled
open Position,1494.46,1464.57,0.01,long,filled
close Position,1494.46,1544.28,0,long,canceled
open Position,1492.89,1463.03,0.01,long,filled
close Position,1492.89,1542.65,0,long,canceled
open Position,1491.4,1461.57,0.01,long,filled
close Position,1491.4,1541.11,0.2,long,canceled
open Position,1489.98,1460.18,0.01,long,filled
close Position,1489.98,1539.65,0.21,long,canceled
open Position,1488.63,1458.86,0.01,long,filled
close Position,1488.63,1538.25,0.22,long,canceled
open Position,1487.34,1457.59,0.01,long,filled
close Position,1487.34,1536.92,0.23,long,canceled
open Position,1486.1,1456.38,0.01,long,filled
close Position,1486.1,1535.64,0.24,long,canceled
open Position,1484.91,1455.21,0.01,long,filled
close Position,1484.91,1534.41,0.25,long,canceled
open Position,1483.77,1454.09,0.01,long,filled
close Position,1483.77,1533.23,0.26,long,canceled
open Position,1482.67,1453.02,0.01,long,filled
close Position,1482.67,1532.09,0.27,long,canceled
open Position,1481.61,1451.98,0.01,long,filled
close Position,1481.61,1531,0.28,long,canceled
